state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi
AL,2022,4916000,0.645,0.252,0.048,0.014,0.002,N/A,0.039,59910,13.6,2.5,1.2,57,88.8,28.8,217335.1989
AL,2021,4900800,0.644,0.255,0.047,0.013,0.004,N/A,0.037,56930,15.9,3.4,2,56.6,87.9,27.4,193148.7979
AL,2020,0,0,0,0,0,0,0,0,54690,14.9,6.4,1.4,57.2,88,27.8,169855.5743
AL,2019,4767100,0.654,0.265,0.044,0.014,0.004,N/A,0.019,56200,12.9,3.2,1.4,57.7,87.1,26.3,157202.1806
AL,2018,4752600,0.656,0.265,0.043,0.013,<.01,N/A,0.019,49940,16,3.9,1.6,57.3,86.6,25.5,148927.5094
AL,2017,4741400,0.658,0.266,0.041,0.013,<.01,N/A,0.017,51110,15,4.5,2.2,56.7,86.5,25.5,143217.6293
AL,2016,4730100,0.66,0.265,0.041,0.012,0.01,N/A,0.017,47220,16.2,5.9,2.6,56.5,85.1,24.7,139181.9175
AK,2022,698600,0.577,0.028,0.073,0.061,0.128,0.016,0.116,89740,9.6,4.2,1.7,64.8,93.3,30.6,354599.5176
AK,2021,698700,0.579,0.026,0.067,0.07,0.138,0.015,0.105,81130,11.4,6.4,3.4,64.5,93.3,32.8,331952.2319
AK,2020,0,0,0,0,0,0,0,0,74750,13.4,8.4,2,63.7,93.7,31.9,315637.682
AK,2019,701700,0.6,0.022,0.07,0.06,0.151,0.015,0.083,78390,10.2,5.6,2.2,64.6,93.6,30.2,304538.8099
AK,2018,709100,0.601,0.029,0.071,0.061,0.156,0.011,0.072,68730,13.1,6,2.6,65.2,93.3,30.2,287105.3743
AK,2017,710100,0.61,0.025,0.067,0.066,0.134,0.01,0.089,72230,14.4,6.5,2.8,66,91.7,28.8,282881.3414
AK,2016,714900,0.614,0.029,0.067,0.06,0.15,0.012,0.068,75720,12.6,6.6,2.3,66.3,93.1,29.6,280635.4971
AZ,2022,7189700,0.518,0.043,0.325,0.035,0.033,0.001,0.044,73450,12.7,3.8,1.4,61.5,89.2,33,438658.733
AZ,2021,7107300,0.521,0.041,0.324,0.033,0.033,0.002,0.047,70820,12.6,5.1,3.1,61.3,89,32.4,363213.0556
AZ,2020,0,0,0,0,0,0,0,0,67090,10.9,7.8,1.8,61.4,89.1,33,293697.0823
AZ,2019,7098000,0.542,0.043,0.318,0.033,0.039,0.002,0.024,70670,9.9,4.8,1.6,62,87.6,30.2,267616.8857
AZ,2018,7004300,0.545,0.042,0.316,0.032,0.039,<.01,0.024,62280,12.8,4.8,1.7,61.2,87.5,29.7,250544.9546
AZ,2017,6841300,0.55,0.04,0.313,0.032,0.038,<.01,0.025,61130,13.2,5,1.8,60.6,87.2,29.4,232765.8344
AZ,2016,6760900,0.555,0.04,0.309,0.032,0.04,<.01,0.023,57100,16.1,5.5,1.9,60.4,86.7,28.9,217921.8948
AR,2022,2952900,0.677,0.141,0.085,0.015,0.004,0.004,0.074,53980,16.6,3.2,1.3,57.3,89.1,25.4,194822.9277
AR,2021,2936400,0.683,0.144,0.083,0.014,0.004,0.004,0.068,50780,16.8,4,2.2,56.5,88.7,25.3,174401.6205
AR,2020,0,0,0,0,0,0,0,0,50780,14.1,6.2,1.4,57.3,88.2,24.9,154522.835
AR,2019,2922500,0.721,0.152,0.078,0.016,0.006,0.004,0.024,54540,14.1,3.5,1,58.1,87.5,23.3,145709.227
AR,2018,2921300,0.722,0.15,0.077,0.015,0.01,<.01,0.027,49780,15.9,3.7,1.2,57.9,87.2,23.3,140198.8967
AR,2017,2910000,0.725,0.149,0.076,0.017,0.01,<.01,0.027,48830,14.8,3.7,1.3,58.3,86.7,23.4,135134.5919
AR,2016,2895400,0.73,0.153,0.073,0.014,0.01,<.01,0.022,45910,16,4,1.7,58.1,86,22.4,130786.0634
CA,2022,38187000,0.337,0.051,0.404,0.153,0.002,0.003,0.049,85300,11.2,4.3,2.4,61.8,84.7,37,738501.98
CA,2021,38379200,0.342,0.051,0.403,0.151,0.002,0.003,0.047,81580,11.9,7.3,4.9,61.1,84.4,36.2,650386.5632
CA,2020,0,0,0,0,0,0,0,0,77650,11.1,10.2,2.6,60.9,84.4,36.9,562502.2309
CA,2019,38642700,0.364,0.053,0.395,0.147,0.004,0.004,0.033,78100,10.1,4.1,1.6,62.4,84,35,536110.7286
CA,2018,38745900,0.367,0.054,0.394,0.146,<.01,<.01,0.033,70490,11.9,4.3,1.7,62.3,83.8,34.2,521103.4073
CA,2017,38713900,0.37,0.053,0.393,0.145,<.01,<.01,0.033,69760,12.4,4.8,2,62.3,83.3,33.6,475721.1933
CA,2016,38442400,0.375,0.054,0.39,0.142,<.01,<.01,0.033,66640,13.9,5.5,2.4,62.2,82.4,32.9,439544.1693
CO,2022,5695100,0.65,0.036,0.226,0.031,0.004,0.001,0.052,89930,8.1,3.1,1.3,68.2,93,45.9,546611.9753
CO,2021,5664200,0.653,0.036,0.222,0.031,0.003,0.002,0.053,84950,7.9,5.5,2.9,68.1,92.4,44.4,475613.7751
CO,2020,0,0,0,0,0,0,0,0,83780,9.5,6.8,1.4,67.3,92.7,44.2,411694.4001
CO,2019,5611800,0.678,0.038,0.218,0.032,0.005,0.001,0.028,72500,9.3,2.7,1,68.7,92.4,42.7,389875.7836
CO,2018,5555200,0.68,0.038,0.216,0.032,<.01,<.01,0.028,73030,9.1,3.1,1,68.6,91.9,41.7,371962.9629
CO,2017,5461100,0.683,0.038,0.216,0.031,0.01,<.01,0.026,74170,7.7,2.6,1,67.7,91.6,41.2,346114.1716
CO,2016,5398100,0.687,0.039,0.213,0.031,0.01,<.01,0.025,70570,8.5,3.1,1.4,66.9,91.4,39.9,317127.9619
CT,2022,3506600,0.62,0.097,0.183,0.047,0.001,N/A,0.052,90730,10.2,4.1,2.1,65.2,91.5,41.9,342689.2251
CT,2021,3501500,0.628,0.097,0.178,0.047,0.001,N/A,0.049,80960,8,6.4,4.1,63.1,91.1,42.1,307588.2668
CT,2020,0,0,0,0,0,0,0,0,79430,11.2,8,2.3,64.5,91.6,42.4,267623.1647
CT,2019,3453300,0.657,0.1,0.169,0.046,0.002,N/A,0.026,87290,8.3,3.6,1.8,66.3,90.7,39.8,256126.0858
CT,2018,3466300,0.663,0.099,0.166,0.047,<.01,N/A,0.024,72810,10.2,3.9,2.2,66.1,90.9,39.6,252882.7736
CT,2017,3478700,0.667,0.097,0.163,0.045,<.01,N/A,0.027,72780,10.9,4.4,2.1,66.3,90.4,38.7,247159.3384
CT,2016,3465100,0.676,0.098,0.158,0.045,<.01,N/A,0.022,75920,9.8,4.9,2.6,65.9,90.5,38.6,241427.0393
DE,2022,990700,0.59,0.211,0.103,0.041,0.001,N/A,0.054,80750,9.3,4.2,2.3,60.7,92,36.5,359641.9998
DE,2021,974100,0.595,0.203,0.102,0.041,N/A,N/A,0.057,68690,11.7,5.5,3.2,61.3,91.4,35.6,322658.1464
DE,2020,0,0,0,0,0,0,0,0,70020,10.5,7.5,2.1,61.4,91,34.7,281167.5744
DE,2019,940300,0.614,0.218,0.097,0.039,0.003,N/A,0.028,74190,6.5,3.6,1.4,62.1,90.3,33.2,271369.2211
DE,2018,937700,0.621,0.213,0.095,0.042,<.01,N/A,0.025,65010,7.4,3.7,1.5,62.1,89.8,31.3,263962.1268
DE,2017,931700,0.626,0.212,0.092,0.04,N/A,N/A,0.027,62320,9.2,4.5,2,62.2,90.6,31.5,257027.958
DE,2016,924300,0.63,0.207,0.092,0.04,<.01,N/A,0.027,58050,11.6,4.5,2.2,62.2,89.3,31,246807.4383
DC,2022,638600,0.363,0.422,0.119,0.039,N/A,N/A,0.055,101700,13.4,4.8,3.1,70.9,93.7,65.4,641893.9153
DC,2021,633400,0.359,0.431,0.115,0.038,N/A,N/A,0.055,90640,14,6.9,4,69.2,92.8,63,629874.4722
DC,2020,0,0,0,0,0,0,0,0,88220,16.8,7.9,3.1,69.7,93.8,63.6,595207.3612
DC,2019,671300,0.367,0.45,0.112,0.037,0.003,N/A,0.031,93110,12.5,5.5,3.2,71.2,91.9,59.7,570990.8234
DC,2018,667900,0.367,0.449,0.113,0.036,N/A,N/A,0.034,85750,14.7,5.7,3.1,70.4,92.1,60.4,555379.0998
DC,2017,657600,0.36,0.459,0.11,0.041,<.01,N/A,0.028,83380,13.6,6.1,3.5,70.5,90.2,57.3,527460.6647
DC,2016,644400,0.359,0.468,0.111,0.037,N/A,N/A,0.023,70980,16.3,6.2,3.9,69.9,90.5,56.8,506381.6645
FL,2022,21693500,0.508,0.144,0.273,0.028,0.001,0,0.046,65370,13.5,3,1.4,59.1,89.9,34.3,371953.6143
FL,2021,21304700,0.512,0.144,0.27,0.028,0.001,0,0.046,59730,12.6,4.7,3.1,58.2,89.8,33.2,297663.9865
FL,2020,0,0,0,0,0,0,0,0,57760,13.3,8.2,1.9,57.6,89.6,33.7,255509.333
FL,2019,20992000,0.53,0.15,0.266,0.027,0.002,0.001,0.024,58370,11.5,3.3,1.3,59.4,88.4,30.7,241243.1872
FL,2018,20843500,0.533,0.151,0.263,0.027,<.01,<.01,0.024,54640,13.7,3.7,1.5,59.3,88.5,30.4,229287.1644
FL,2017,20532300,0.539,0.151,0.258,0.028,<.01,<.01,0.023,53680,13.7,4.3,2,59.3,88.4,29.7,213056.9819
FL,2016,20144000,0.547,0.151,0.251,0.027,<.01,<.01,0.022,51180,13,4.9,2.5,59.2,87.4,28.6,197113.9598
GA,2022,10609800,0.498,0.306,0.104,0.044,0.001,0.001,0.047,67730,11.7,3.1,1.5,61.5,89.5,34.7,306191.9454
GA,2021,10478300,0.503,0.303,0.1,0.043,0.002,0,0.048,61500,14,3.9,2.3,61.6,89,34.6,254243.6412
GA,2020,0,0,0,0,0,0,0,0,59270,13.3,6.5,1.7,61.3,89.3,34.8,215181.106
GA,2019,10294000,0.52,0.313,0.098,0.041,0.002,0.001,0.025,56630,12.1,3.6,1.5,63,87.9,32.5,200421.846
GA,2018,10212800,0.525,0.309,0.097,0.041,<.01,<.01,0.025,55820,14.8,4,1.7,63.3,87.6,31.9,186666.2804
GA,2017,10121400,0.529,0.309,0.096,0.04,<.01,N/A,0.024,57020,13.3,4.8,2.2,63.9,87,30.9,171820.303
GA,2016,10001000,0.534,0.308,0.094,0.038,<.01,<.01,0.023,53530,15.4,5.5,2.7,62.4,86.4,30.5,161439.0559
HI,2022,1369500,0.195,0.011,0.108,0.359,0.001,0.094,0.232,91010,8.8,3.3,2,59.9,92.9,35.4,833701.3861
HI,2021,1365100,0.196,0.013,0.109,0.375,N/A,0.097,0.209,82200,10.9,6,6,59.6,92.9,35.3,707129.0512
HI,2020,0,0,0,0,0,0,0,0,80830,10.9,11.8,2.6,59.2,93.3,35.5,631796.4826
HI,2019,1343000,0.204,0.012,0.103,0.394,0.001,0.102,0.184,88010,8.4,2.5,0.9,61,92.4,33.6,615234.3835
HI,2018,1354800,0.206,0.015,0.105,0.379,N/A,0.096,0.199,80110,9.2,2.4,0.8,61.6,92,33.5,604315.8513
HI,2017,1356100,0.207,0.01,0.102,0.382,<.01,0.096,0.203,73580,10.3,2.2,0.9,62,92.3,32.9,575458.593
HI,2016,1364600,0.211,0.013,0.102,0.376,N/A,0.095,0.202,72130,9.3,2.9,1.3,62.1,92,31.9,544047.1761
ID,2022,1885200,0.793,0.005,0.135,0.013,0.008,0.002,0.043,72580,8.2,2.8,0.8,63,92,32.3,471894.0142
ID,2021,1865000,0.788,0.007,0.133,0.014,0.007,0.001,0.051,76920,9.3,3.6,1.4,62.9,91.3,30.7,412975.7518
ID,2020,0,0,0,0,0,0,0,0,66730,9.1,5.5,0.9,63.3,91.3,30.9,309840.0819
ID,2019,1750900,0.816,0.007,0.129,0.012,0.009,N/A,0.026,65990,7.1,2.9,0.6,64.3,91.5,28.7,272612.0271
ID,2018,1719600,0.819,0.005,0.127,0.016,0.011,N/A,0.022,58730,11.5,2.9,0.6,64.1,90.9,27.7,243811.1479
ID,2017,1682100,0.821,0.01,0.124,0.013,0.01,N/A,0.025,60210,11.7,3.2,0.8,63.9,90.8,26.8,218574.1772
ID,2016,1650700,0.825,0.01,0.123,0.014,0.011,N/A,0.02,56560,11.1,3.7,1.1,63.8,90.4,27.6,200402.8294
IL,2022,12296100,0.585,0.13,0.184,0.06,0.001,0,0.04,78020,9.5,4.6,2.1,64.1,90.4,37.7,240521.7988
IL,2021,12368800,0.59,0.132,0.181,0.057,0.001,0,0.039,79250,10.7,6.1,3.8,63,90.2,37.1,219795.7167
IL,2020,0,0,0,0,0,0,0,0,74330,8,9.3,2.1,62.6,90.4,37.6,198998.1355
IL,2019,12362300,0.609,0.136,0.176,0.056,0.001,<.01,0.022,74400,9.3,4,1.6,64.6,89.8,35.8,192383.4331
IL,2018,12438400,0.61,0.136,0.175,0.056,<.01,<.01,0.022,70150,10.3,4.4,1.8,64.7,89.5,35.1,187366.3672
IL,2017,12496600,0.613,0.137,0.174,0.054,<.01,N/A,0.021,64610,10.9,5,2.3,64.7,89.1,34.4,179393.3113
IL,2016,12491200,0.618,0.137,0.171,0.053,<.01,<.01,0.019,61390,12.1,5.9,3,65.3,88.8,34,171464.995
IN,2022,6639400,0.761,0.091,0.078,0.025,0.001,0,0.044,70030,10.4,3.1,1,63.2,90.2,29.6,220388.4363
IN,2021,6601300,0.767,0.086,0.077,0.023,0.001,N/A,0.045,70190,10.4,3.9,2,62.8,90.6,28.9,194269.7895
IN,2020,0,0,0,0,0,0,0,0,66810,12.1,7.4,1.3,63,90.2,28.9,168872.5999
IN,2019,6511800,0.786,0.092,0.072,0.024,0.002,N/A,0.023,66690,10.1,3.3,1,64.6,89.6,26.9,156859.744
IN,2018,6487100,0.79,0.093,0.071,0.023,<.01,N/A,0.022,59890,11.6,3.4,0.9,65,89,27.1,146742.0092
IN,2017,6459400,0.794,0.091,0.07,0.021,<.01,N/A,0.024,58870,11.4,3.5,1.1,64.2,88.6,26.8,136933.5788
IN,2016,6431400,0.798,0.091,0.068,0.021,<.01,N/A,0.021,56090,11.8,4.4,1.6,64.7,88.4,25.6,129575.7049
IA,2022,3101000,0.829,0.036,0.068,0.024,0.001,0.002,0.039,76320,9.4,2.8,0.7,68,93.5,32.3,202868.0935
IA,2021,3093200,0.831,0.034,0.067,0.023,0.003,0.001,0.041,72430,9.7,3.9,1.7,67.1,93.3,30.5,183393.9512
IA,2020,0,0,0,0,0,0,0,0,68820,9.2,5.2,1.1,66.9,93.1,29.5,167728.4025
IA,2019,3060200,0.853,0.039,0.063,0.023,0.003,<.01,0.019,66050,9.5,2.7,0.6,70,92.6,29.3,160042.2904
IA,2018,3056800,0.855,0.034,0.061,0.026,<.01,N/A,0.02,68720,8.9,2.6,0.8,69.2,92.3,29,152433.2084
IA,2017,3045600,0.859,0.031,0.059,0.027,<.01,N/A,0.02,63480,9.1,3.1,1,68.9,92.1,28.9,146369.8961
IA,2016,3030400,0.866,0.033,0.057,0.024,<.01,N/A,0.017,59090,9.8,3.6,1,69.7,91.8,28.4,141827.5742
KS,2022,2838500,0.733,0.046,0.131,0.03,0.004,N/A,0.055,73040,10.5,2.6,0.9,66.5,92.1,35.6,203653.6958
KS,2021,2843100,0.734,0.047,0.129,0.03,0.004,N/A,0.056,75980,7.1,3.4,1.5,66.5,91.9,35.4,181244.1296
KS,2020,0,0,0,0,0,0,0,0,73080,9.3,5.8,0.9,66.8,91.8,35.1,161331.4655
KS,2019,2811200,0.757,0.055,0.122,0.028,0.006,N/A,0.032,73150,9.5,3.2,0.9,67.1,91.8,34,149943.5409
KS,2018,2814700,0.76,0.054,0.12,0.028,0.01,N/A,0.032,63940,7.5,3.4,1,66.8,91,33.8,142936.7128
KS,2017,2817600,0.761,0.053,0.119,0.03,0.01,N/A,0.03,57870,14.7,3.6,1.2,66.8,91,33.7,136262.9024
KS,2016,2817000,0.765,0.056,0.117,0.027,0.01,N/A,0.029,56810,11.2,4,1.5,67.4,90.5,32.8,131386.1313
KY,2022,4377200,0.825,0.074,0.041,0.014,0.001,N/A,0.045,55870,17.1,4,1.2,57.6,89,27.9,188212.7744
KY,2021,4365500,0.83,0.068,0.038,0.015,0.002,N/A,0.047,55630,16.2,4.5,2,57.1,88,27,169731.9932
KY,2020,0,0,0,0,0,0,0,0,56760,13.9,6.5,1.8,57,88.7,27.4,150143.7935
KY,2019,4319300,0.845,0.08,0.037,0.016,0.001,N/A,0.02,55660,13.6,4.1,1.4,58.7,87.2,25.1,139848.0504
KY,2018,4320300,0.848,0.076,0.036,0.015,<.01,N/A,0.023,54560,15.7,4.2,1.4,58.6,86.8,24.8,132370.8326
KY,2017,4307100,0.849,0.079,0.035,0.015,<.01,N/A,0.022,51350,14.4,4.8,2,58.8,86.3,24,124914.8588
KY,2016,4287700,0.852,0.08,0.034,0.014,<.01,N/A,0.018,45370,15.2,5,2.1,58.3,85.7,23.4,118772.7011
LA,2022,4451600,0.571,0.306,0.057,0.018,0.004,N/A,0.044,58320,16.9,3.6,1.9,58.4,87.3,27.1,208826.3598
LA,2021,4480200,0.574,0.306,0.055,0.018,0.004,N/A,0.044,57210,18.4,5.6,3.7,57.7,86.7,26.4,198002.9453
LA,2020,0,0,0,0,0,0,0,0,51190,15.5,8.7,2.5,57.4,86.9,27.2,188339.4683
LA,2019,4498600,0.588,0.319,0.052,0.017,0.005,N/A,0.019,51710,17.9,4.6,1.9,58.6,86,25,179519.2822
LA,2018,4519300,0.588,0.316,0.051,0.016,0.01,N/A,0.023,49970,19,4.8,1.9,58.8,85.8,24.3,173800.59
LA,2017,4541500,0.588,0.318,0.052,0.018,0.01,N/A,0.019,43900,21.4,5.1,2.4,58.8,85.1,23.8,171363.3701
LA,2016,4530500,0.594,0.318,0.049,0.017,0.01,N/A,0.017,42200,20.2,6.1,2.5,59.3,84.4,23.4,172156.1913
ME,2022,1348100,0.905,0.016,0.02,0.009,0.004,N/A,0.045,75160,9.6,2.9,1.3,59.1,94.6,36.1,358122.026
ME,2021,1336900,0.9,0.014,0.018,0.011,0.003,N/A,0.053,71140,9.1,4.7,2.3,60.4,94.5,36,311270.9749
ME,2020,0,0,0,0,0,0,0,0,63690,8,5.1,1.3,59.6,93.6,33.5,257755.1702
ME,2019,1302300,0.932,0.014,0.017,0.011,0.007,N/A,0.019,66550,10.4,2.9,1.1,62.4,93.2,33.2,236456.3762
ME,2018,1299500,0.934,0.013,0.015,0.013,<.01,N/A,0.021,58660,11.6,3.2,0.9,63,93,31.5,225420.5024
ME,2017,1300200,0.937,0.011,0.016,0.011,0.01,N/A,0.019,51660,12,3.4,1.2,63.6,92.3,32.1,211392.2435
ME,2016,1293800,0.936,0.015,0.015,0.012,0.01,N/A,0.016,50860,12.7,3.8,1.6,63.4,92.3,30.1,198263.7839
MD,2022,6011200,0.472,0.292,0.115,0.066,0.001,N/A,0.054,108200,8.6,3,1.7,64.8,91.4,43.8,396489.4444
MD,2021,5992100,0.481,0.286,0.111,0.068,0.001,0,0.052,97330,7.7,5.2,3.2,64.8,91.1,42.5,368780.6287
MD,2020,0,0,0,0,0,0,0,0,94790,9.4,6.5,1.7,66.5,91.1,43.1,329988.1588
MD,2019,5875500,0.499,0.296,0.106,0.064,0.002,N/A,0.032,95570,7,3.4,1.5,68.9,90.4,40.9,315086.4882
MD,2018,5870800,0.503,0.293,0.105,0.064,<.01,N/A,0.034,86220,8,3.8,1.9,67.8,90.5,40.8,304548.6894
MD,2017,5892900,0.507,0.292,0.102,0.065,<.01,<.01,0.031,81080,7.8,4,1.9,67.6,89.9,39.7,294184.6855
MD,2016,5856500,0.514,0.293,0.098,0.063,<.01,N/A,0.03,73760,7.1,4.3,2.1,66.9,90.1,39.3,283953.017
MA,2022,6757900,0.673,0.065,0.131,0.07,0.001,N/A,0.06,93550,9.6,3.7,1.9,65.2,91.3,46.6,556942.6519
MA,2021,6744100,0.677,0.061,0.129,0.069,0.001,N/A,0.063,86570,7.6,5.4,4,65.1,91.1,46.6,504870.5217
MA,2020,0,0,0,0,0,0,0,0,87810,8.4,9.4,2.1,65.3,91.3,46.9,443372.5791
MA,2019,6650800,0.705,0.07,0.124,0.067,0.002,<.01,0.032,87710,7.5,3,1.2,67.2,91.3,45,421752.5499
MA,2018,6659900,0.708,0.07,0.124,0.067,<.01,N/A,0.029,86350,8.7,3.5,1.6,67.1,90.8,44.5,410211.5293
MA,2017,6620600,0.717,0.069,0.119,0.064,<.01,N/A,0.029,73230,10.6,3.8,1.7,65.9,90.8,43.4,386046.5835
MA,2016,6570600,0.726,0.067,0.114,0.063,<.01,N/A,0.028,72270,9.6,4,2,65.3,90.4,42.7,361931.3072
MI,2022,9824500,0.729,0.129,0.057,0.033,0.003,0,0.05,68990,12.1,4.1,1.8,60.4,91.8,32.1,228016.4357
MI,2021,9841800,0.731,0.131,0.056,0.032,0.003,0,0.048,64490,11.7,5.8,3.4,59.4,92,31.7,206833.9654
MI,2020,0,0,0,0,0,0,0,0,64390,11.2,10.1,1.9,60.4,92,32.1,180294.8683
MI,2019,9765600,0.749,0.134,0.053,0.032,0.005,N/A,0.027,64120,10.2,4.1,1.3,61.9,91.4,30,169404.0894
MI,2018,9770000,0.75,0.135,0.052,0.032,<.01,N/A,0.026,60450,10.5,4.2,1.4,61.6,91.1,29.6,159393.1485
MI,2017,9720300,0.753,0.135,0.05,0.031,<.01,N/A,0.026,57700,12.7,4.6,1.6,61.4,90.9,29.1,147892.2069
MI,2016,9693500,0.756,0.135,0.049,0.029,<.01,N/A,0.027,57090,11.1,5,2,61.3,90.4,28.3,137536.6185
MN,2022,5600400,0.763,0.065,0.058,0.052,0.007,N/A,0.055,90390,7.6,2.5,1,68.2,94,39.1,325231.7254
MN,2021,5585100,0.769,0.067,0.058,0.05,0.006,N/A,0.049,80440,6.9,3.7,2.4,67.9,94.1,38.9,298790.6145
MN,2020,0,0,0,0,0,0,0,0,78750,8.5,6.3,1.3,69.7,93.8,37.9,266296.4713
MN,2019,5514800,0.791,0.064,0.056,0.049,0.009,N/A,0.03,81430,5.7,3.3,0.8,69.9,93.6,37.3,252044.0064
MN,2018,5489000,0.796,0.065,0.054,0.047,0.01,N/A,0.028,71820,7.9,3,0.8,69.6,93.4,36.7,239466.7637
MN,2017,5446600,0.8,0.064,0.052,0.048,0.01,N/A,0.026,71920,9.2,3.5,1,70.1,93.1,36.1,224271.1066
MN,2016,5392900,0.807,0.057,0.051,0.049,0.01,N/A,0.026,70220,8.7,3.9,1,70,92.9,34.8,209669.2919
MS,2022,2828900,0.557,0.364,0.032,0.009,0.004,N/A,0.035,48610,18.4,3.8,1.9,54.9,87.6,24.8,178507.9594
MS,2021,2850600,0.559,0.357,0.031,0.008,0.004,N/A,0.04,46640,17.4,5.5,2.9,55.1,86.5,24.8,162178.3372
MS,2020,0,0,0,0,0,0,0,0,45130,17.6,8,2.4,54.7,86.8,24.5,145332.868
MS,2019,2867100,0.566,0.376,0.03,0.01,0.004,N/A,0.014,44790,19.2,5.5,2.2,56.1,85.3,22.3,138591.2854
MS,2018,2879400,0.567,0.377,0.028,0.009,<.01,N/A,0.014,42780,19.6,5,2.1,55.6,85.4,23.2,133841.9373
MS,2017,2884500,0.569,0.377,0.028,0.01,<.01,N/A,0.012,43440,18.3,5.2,2.4,55.7,84.4,21.9,130735.2395
MS,2016,2887300,0.572,0.376,0.028,0.01,<.01,N/A,0.011,41100,21.1,6,2.6,55.7,84.1,21.8,128885.7741
MO,2022,5990000,0.769,0.104,0.047,0.021,0.002,0.001,0.056,71520,11.4,2.6,0.9,62.4,91.6,32.2,227423.0773
